event_id,mag,longitude,latitude,depth (km),code,distance (km),vs30,pga (%g),pgv (cm/s),max_sa(0.3),max_sa(1.0),max_sa(3.0),E-pgv (cm/s),E-sa(0.3) (%g),E-sa(1.0) (%g),E-sa(3.0) (%g),E-pga (%g),N-pgv (cm/s),N-sa(0.3) (%g),N-sa(1.0) (%g),N-sa(3.0) (%g),N-pga (%g)
024gmssb5w,4,-151.7336,60.205,64,8039,155.685,309.85,0.0458,0.0162,0.0573,0.0136,0.0008,0.0162,0.0573,0.0086,0.0008,0.0458,0.0136,0.033,0.0136,0.0008,0.026
024gmssb5w,4,-151.7336,60.205,64,BRLK,92.111,744.56,0.2756,0.0402,0.0807,0.0059,0.0011,0.0302,0.0647,0.0048,0.0007,0.173,0.0402,0.0807,0.0059,0.0011,0.2756
024gmssb5w,4,-151.7336,60.205,64,CAPN,94.564,452.7,0.0701,0.0384,0.1504,0.026,0.0025,0.0218,0.1249,0.0134,0.001,0.0589,0.0384,0.1504,0.026,0.0025,0.0701
024gmssb5w,4,-151.7336,60.205,64,CDVT,350.95,760.0,0.0009,0.0006,0.0019,0.0003,0.0005,0.0006,0.0015,0.0003,0.0005,0.0009,0.0003,0.0019,0.0001,null,0.0008
024gmssb5w,4,-151.7336,60.205,64,DAM1,93.438,538.38,0.0653,0.0133,0.0412,0.0032,0.0004,0.007,0.0195,0.0018,0.0004,0.0584,0.0133,0.0412,0.0032,0.0004,0.0653
024gmssb5w,4,-151.7336,60.205,64,DAM2,93.321,787.96,0.0498,0.0083,0.0269,0.0025,0.0004,0.006,0.0175,0.0019,0.0004,0.0344,0.0083,0.0269,0.0025,0.0003,0.0498
024gmssb5w,4,-151.7336,60.205,64,DIV,345.61,760.0,0.0046,0.0015,0.0059,0.0006,0.0001,0.0009,0.0029,0.0004,0.0001,0.0046,0.0015,0.0059,0.0006,0.0001,0.0046
024gmssb5w,4,-151.7336,60.205,64,ER01,183.324,665.77,0.0612,0.0115,0.03,0.0025,0.0003,0.0109,0.03,0.0019,0.0003,0.0611,0.0115,0.0231,0.0025,0.0003,0.0612
024gmssb5w,4,-151.7336,60.205,64,ER02,181.714,322.68,0.0517,0.015,0.0792,0.0061,0.0005,0.0133,0.0552,0.0044,0.0004,0.0483,0.015,0.0792,0.0061,0.0005,0.0517
024gmssb5w,4,-151.7336,60.205,64,ER03,182.45,499.8,0.0922,0.0201,0.0653,0.0077,0.0007,0.0201,0.0653,0.0077,0.0007,0.0839,0.019,0.0612,0.0054,0.0005,0.0922
024gmssb5w,4,-151.7336,60.205,64,ER04,184.72,481.1,0.1418,0.0313,0.0871,0.0067,0.0007,0.0295,0.0482,0.0049,0.0006,0.1287,0.0313,0.0871,0.0067,0.0007,0.1418
024gmssb5w,4,-151.7336,60.205,64,EYAK,336.257,760.0,0.0018,0.0005,0.0019,0.0007,0.0001,0.0005,0.0019,0.0004,0.0001,0.0018,0.0005,0.0017,0.0007,0.0001,0.0012
024gmssb5w,4,-151.7336,60.205,64,HIN,294.951,760.0,0.0033,0.0012,0.0069,0.0015,0.0003,0.001,0.0044,0.0015,0.0002,0.0027,0.0012,0.0069,0.0015,0.0003,0.0033
024gmssb5w,4,-151.7336,60.205,64,HOM,87.18,692.81,0.1863,0.0766,0.2693,0.0578,0.0049,0.0766,0.2693,0.0578,0.0049,0.1854,0.0702,0.2542,0.0356,0.0039,0.1863
024gmssb5w,4,-151.7336,60.205,64,K204,156.262,279.86,0.0242,0.0072,0.045,0.0063,0.0006,0.0072,0.045,0.0053,0.0005,0.0242,0.0068,0.0338,0.0063,0.0006,0.0215
024gmssb5w,4,-151.7336,60.205,64,K205,161.168,343.01,0.0183,0.0115,0.0543,0.0089,0.0007,0.0074,0.0543,0.0064,0.0004,0.0183,0.0115,0.0379,0.0089,0.0007,0.016
024gmssb5w,4,-151.7336,60.205,64,K209,165.823,391.18,0.016,0.0041,0.018,0.0021,0.0003,0.0041,0.0122,0.0021,0.0002,0.016,0.0034,0.018,0.0021,0.0003,0.0156
